,id,number_mutual_gaze,time_mutual_gaze,duration_mutual_gaze
0,s1_0ms_240p.csv,35,1212,34.62857143
1,s5_0ms_240p.csv,18,882,49
2,s7_0ms_240p.csv,18,409,22.72222222
3,s9_0ms_240p.csv,22,329,14.95454545
4,s11_0ms_240p.csv,18,788,43.77777778
5,s13_0ms_240p.csv,18,1264,70.22222222
6,s15_0ms_240p.csv,14,557,39.78571429
7,s19_0ms_240p.csv,36,1535,42.63888889
8,s21_0ms_240p.csv,24,525,21.875
9,s23_0ms_240p.csv,1,6,6
10,s25_0ms_240p.csv,24,730,30.41666667
11,s27_0ms_240p.csv,40,1332,33.3
12,s29_0ms_240p.csv,18,682,37.88888889
13,s31_0ms_240p.csv,9,270,30
14,s35_0ms_240p.csv,6,238,39.66666667
15,s37_0ms_240p.csv,37,1312,35.45945946
16,s39_0ms_240p.csv,9,241,26.77777778
17,s41_0ms_240p.csv,39,1258,32.25641026
18,s43_0ms_240p.csv,37,1152,31.13513514
19,s45_0ms_240p.csv,22,473,21.5
