,id,number_mutual_gaze,time_mutual_gaze,duration_mutual_gaze
0,s11_0ms_480p.csv,25,1141,45.64
1,s13_0ms_480p.csv,24,822,34.25
2,s15_0ms_480p.csv,21,633,30.142857142857142
3,s19_0ms_480p.csv,36,1075,29.86111111111111
4,s1_0ms_480p.csv,33,1357,41.121212121212125
5,s21_0ms_480p.csv,36,958,26.61111111111111
6,s23_0ms_480p.csv,0,0,0.0
7,s25_0ms_480p.csv,24,668,27.833333333333332
8,s27_0ms_480p.csv,38,1152,30.31578947368421
9,s29_0ms_480p.csv,21,1070,50.95238095238095
10,s31_0ms_480p.csv,31,825,26.612903225806452
11,s35_0ms_480p.csv,19,389,20.473684210526315
12,s37_0ms_480p.csv,10,4105,410.5
13,s39_0ms_480p.csv,1,18,18.0
14,s41_0ms_480p.csv,26,898,34.53846153846154
15,s43_0ms_480p.csv,22,809,36.77272727272727
16,s45_0ms_480p.csv,23,679,29.52173913043478
17,s5_0ms_480p.csv,12,444,37.0
18,s7_0ms_480p.csv,24,418,17.416666666666668
19,s9_0ms_480p.csv,15,343,22.866666666666667
