"Participant_A" "Participant_B"
0.0102167362982466 2.06658430301827
0.0102167362982466 2.32649214480891
0.0102167362982466 2.58386430033818
0.0102167362982466 2.83870076960608
0.0102167362982466 3.08719802322055
0.0102167362982466 3.33189174744296
0.0102167362982466 3.57024625601194
0.0102167362982466 3.80606507831954
0.0092879420893151 3.78070821570582
0.00743035367145208 3.7553513530921
0.00650155946252057 3.73126233360906
0.00557276525358906 3.70463762786466
0.00650155946252057 3.67167370646682
0.00743035367145208 3.63870978506898
0.00835914788038359 3.61208507932457
0.00835914788038359 3.59687096175634
0.00835914788038359 3.58672821671085
0.00835914788038359 3.5829246873188
0.00835914788038359 3.58419253044948
0.00835914788038359 3.59687096175634
0.00835914788038359 3.61462076558595
0.00835914788038359 3.63870978506898
0.00835914788038359 3.67040586333613
0.00835914788038359 3.71097684351809
0.00650155946252057 3.7553513530921
0.00464397104465755 3.792118803882
0.00371517683572604 3.83142194093326
0.00371517683572604 3.87199292111522
0.00650155946252057 3.91129605816648
0.0102167362982466 3.94045645017226
0.0204334725964932 3.95820625400187
0.0371517683572604 3.97722390096216
0.0650155946252057 3.99750939105314
0.0938082151020825 4.0190627242748
0.123529629787891 4.04188390062715
0.150464661846905 4.06724076324087
0.181114870741644 4.09893684150802
0.20897869700959 4.12429370412174
0.232198552232878 4.14965056673546
0.252632024829371 4.17247174308781
0.268421526381206 4.20670350761634
0.283282233724111 4.2460066446676
0.299071735275946 4.28784546798024
0.315790031036713 4.32334507563945
0.332508326797481 4.34489840886112
0.343653857304659 4.35123762451455
0.351084210976111 4.33855919320769
0.349226622558248 4.31193448746328
0.347369034140385 4.27009566415064
0.34458265151359 4.21431056640045
0.343653857304659 4.1458470373434
0.33808109205107 4.06343723384881
0.337152297842138 3.97215252843942
0.339009886260001 3.86692154859247
0.342725063095727 3.75281566683073
0.342725063095727 3.62729919689281
0.339938680468933 3.49417566817077
0.333437121006412 3.36105213944874
0.323220384708166 3.22666076759601
0.310217265783124 3.10114429765809
0.294427764231289 2.98196704337361
0.27678067426159 2.87420037726529
0.260062378500823 2.77023724054903
0.243344082740056 2.67388116261689
0.22755458118822 2.57625724155407
0.212693873845316 2.48624037927536
0.201548343338138 2.39875920325802
0.191331607039891 2.32142077228617
0.187616430204165 2.24788587070638
0.191331607039891 2.18069018478002
0.210836285427453 2.11729802824571
0.238700111695398 2.06024508736484
0.267492732172275 2.00445998961466
0.290712587395563 1.9550141075179
